Time,V(R5:2)
3.081322318254e-04,3.955838585537e-05
3.087578421770e-04,3.955838586143e-05
3.092020636735e-04,3.955838585832e-05
3.096416121660e-04,3.955838585250e-05
3.101730948625e-04,3.955838584793e-05
3.108253127275e-04,3.955838586433e-05
3.114705687700e-04,3.955838585535e-05
3.120219832597e-04,3.955838585680e-05
3.126676207719e-04,3.955838585551e-05
3.132526999650e-04,3.955838586585e-05
3.137489920793e-04,3.955838585188e-05
3.142419463334e-04,3.955838585043e-05
3.147073393999e-04,3.955838584550e-05
3.151703959642e-04,3.955838585640e-05
3.158355837999e-04,3.955838583671e-05
3.165618067918e-04,3.955838584848e-05
3.171194201646e-04,3.955838585008e-05
3.176956301866e-04,3.955838584873e-05
3.183547145067e-04,3.955838585837e-05
3.190457469163e-04,3.955838584291e-05
3.193340426622e-04,3.955838585112e-05
3.196364051042e-04,3.955838584725e-05
3.202411299882e-04,3.955838585941e-05
3.208000785051e-04,3.955838584038e-05
3.215127593217e-04,3.955838585667e-05
3.220979338823e-04,3.955838584573e-05
3.227042800126e-04,3.955838584498e-05
3.234363204179e-04,3.955838585288e-05
3.240968352495e-04,3.955838585085e-05
3.247626906572e-04,3.955838586370e-05
3.253962165056e-04,3.955838585468e-05
3.260742789445e-04,3.955838584754e-05
3.266279822526e-04,3.955838585899e-05
3.272779112993e-04,3.955838584955e-05
3.278837805925e-04,3.955838585528e-05
3.285538321672e-04,3.955838585158e-05
3.292118674455e-04,3.955838583653e-05
3.298565512834e-04,3.955838585902e-05
3.304711943803e-04,3.955838586386e-05
3.311769133745e-04,3.955838585411e-05
3.317081099687e-04,3.955838585703e-05
3.322788840471e-04,3.955838585706e-05
3.328914290605e-04,3.955838585352e-05
3.335877066789e-04,3.955838585434e-05
3.341452246843e-04,3.955838584647e-05
3.346901541887e-04,3.955838584758e-05
3.352887755571e-04,3.955838585026e-05
3.359828597246e-04,3.955838585689e-05
3.364813452897e-04,3.955838585717e-05
